Disease,Patient_Description
Dengu,"Ami khub durbol lagtesi, jor 39°C, hade byatha. Gaye dag, kokhono kokhono matha ghura. Doctor, eida ki gurutoro kichu?"
Dengu,"Doctor sab, dui din dhira jore kabu hoiya achi, tapmatra 39.5°C. Chokher pichone jeno such futteche, had-gor bhanga bhanga lage. Majhe majhe vomi-vomi lage, gaye lalche dag uthche. Eida ki khub serious?"
Dengu,"Ami khub durbol lagtesi, jor 39°C, hade byatha. Gaye dag, kokhono kokhono matha ghura. Doctor, eida ki gurutoro kichu?"
Dengu,"Amar shorirta ekdom bhainga porche, doctor. Jor 40°C, matha ta bhari, hade khub byatha. Chokhe chap lage, kokhono kokhono vomi hoy. Gaye chhoto chhoto lal dag dekhay. Eida ki dengu naki?"
Dengu,"Amar shorirta ekdom bhainga porche, doctor. Jor 40°C, matha ta bhari, hade khub byatha. Chokhe chap lage, kokhono kokhono vomi hoy. Gaye chhoto chhoto lal dag dekhay. Eida ki dengu naki?"
Dengu,"Shorire hotat durbolota, jor 38°C, chokher pichone chap. Gaye dag, majhe majhe vomi lage. Doctor, ami ekhon ki kori?"
Dengu,"Jor-ta hotat bairya geche, tapmatra 39°C. Hade tibro byatha, chokhe chap lage. Majhe majhe vomi-vomi, gaye lal dag. Ami khub chintay achi."
Dengu,"Doctor sab, gaye lal dag, hotat jor 40.5°C, chokhe byatha. Majhe majhe matha ghura, vomi-vomi lage. Eida ki khub kharap kichu?"
Dengu,"Shorire hotat durbolota, jor 38°C, chokher pichone chap. Gaye dag, majhe majhe vomi lage. Doctor, ami ekhon ki kori?"
Dengu,"Doctor, hotat jor 40°C, matha bhari, hade byatha. Gaye dag, kokhono kokhono vomi lage. Ami khub osusth lagtesi."
Dengu,"Doctor sab, gaye lal dag, hotat jor 40.5°C, chokhe byatha. Majhe majhe matha ghura, vomi-vomi lage. Eida ki khub kharap kichu?"
Dengu,"Doctor bhai, dui din dhira jor, hade tibro byatha, gaye lalche dag. Kokhono kokhono vomi lage, matha o bhari. Eida ki dengu hote pare?"
Dengu,"Got tin din dhira jor 38.5°C, chokhe byatha, hade tibro byatha. Majhe majhe vomi-vomi, gaye lalche dag. Eida ki serious?"
Dengu,"Jor-ta hotat bairya geche, tapmatra 39°C. Hade tibro byatha, chokhe chap lage. Majhe majhe vomi-vomi, gaye lal dag. Ami khub chintay achi."
Dengu,"Hotat shorirta durbol hoya geche, doctor. Jor 39°C, chokher pichone tibro byatha. Had-gore byatha, majhe majhe vomi lage. Gaye lalche dag dekhay. Eida kotota gurutoro?"
Dengu,"Doctor sab, gaye lal dag, hotat jor 40.5°C, chokhe byatha. Majhe majhe matha ghura, vomi-vomi lage. Eida ki khub kharap kichu?"
Dengu,"Doctor bhai, dui din dhira jor, hade tibro byatha, gaye lalche dag. Kokhono kokhono vomi lage, matha o bhari. Eida ki dengu hote pare?"
Dengu,"Amar shorirta ekdom bhainga porche, doctor. Jor 40°C, matha ta bhari, hade khub byatha. Chokhe chap lage, kokhono kokhono vomi hoy. Gaye chhoto chhoto lal dag dekhay. Eida ki dengu naki?"
Dengu,"Amar shorirta ekdom okkora hoya geche, doctor. Matha ghura, hade byatha. Gaye lal dag, kokhono kokhono vomi lage. Khub osusthi hoitese."
Dengu,"Doctor, hotat jor 40°C, matha bhari, hade byatha. Gaye dag, kokhono kokhono vomi lage. Ami khub osusth lagtesi."
Dengu,"Got tin din dhira jor 38.5°C, chokhe byatha, hade tibro byatha. Majhe majhe vomi-vomi, gaye lalche dag. Eida ki serious?"
Dengu,"Ami khub durbol lagtesi, jor 39°C, hade byatha. Gaye dag, kokhono kokhono matha ghura. Doctor, eida ki gurutoro kichu?"
Dengu,"Hotat shorirta durbol hoya geche, doctor. Jor 39°C, chokher pichone tibro byatha. Had-gore byatha, majhe majhe vomi lage. Gaye lalche dag dekhay. Eida kotota gurutoro?"
Dengu,"Doctor, hotat jor 40°C, matha bhari, hade byatha. Gaye dag, kokhono kokhono vomi lage. Ami khub osusth lagtesi."
Dengu,"Amar shorirta ekdom bhainga porche, doctor. Jor 40°C, matha ta bhari, hade khub byatha. Chokhe chap lage, kokhono kokhono vomi hoy. Gaye chhoto chhoto lal dag dekhay. Eida ki dengu naki?"
Dengu,"Doctor, got ek hapta dhira matha ghura, jor 38.5°C. Hade byatha, kokhono kokhono vomi hoy. Gaye dag uthche, eida ki dengu hote pare?"
Dengu,"Doctor sab, gaye lal dag, hotat jor 40.5°C, chokhe byatha. Majhe majhe matha ghura, vomi-vomi lage. Eida ki khub kharap kichu?"
Dengu,"Doctor sab, dui din dhira jore kabu hoiya achi, tapmatra 39.5°C. Chokher pichone jeno such futteche, had-gor bhanga bhanga lage. Majhe majhe vomi-vomi lage, gaye lalche dag uthche. Eida ki khub serious?"
Dengu,"Doctor bhai, dui din dhira jor, hade tibro byatha, gaye lalche dag. Kokhono kokhono vomi lage, matha o bhari. Eida ki dengu hote pare?"
Dengu,"Doctor sab, jor 40°C, chokher pichone byatha, hade tibro byatha. Majhe majhe vomi hoy. Gaye lal dag, amar ki hoise?"
Dengu,"Doctor sab, jor 40°C, chokher pichone byatha, hade tibro byatha. Majhe majhe vomi hoy. Gaye lal dag, amar ki hoise?"
Dengu,"Doctor sab, jor 40°C, chokher pichone byatha, hade tibro byatha. Majhe majhe vomi hoy. Gaye lal dag, amar ki hoise?"
Dengu,"Amar shorirta ekdom okkora hoya geche, doctor. Matha ghura, hade byatha. Gaye lal dag, kokhono kokhono vomi lage. Khub osusthi hoitese."
Dengu,"Amar shorirta ekdom bhainga porche, doctor. Jor 40°C, matha ta bhari, hade khub byatha. Chokhe chap lage, kokhono kokhono vomi hoy. Gaye chhoto chhoto lal dag dekhay. Eida ki dengu naki?"
Dengu,"Doctor sab, jor 40°C, chokher pichone byatha, hade tibro byatha. Majhe majhe vomi hoy. Gaye lal dag, amar ki hoise?"
Dengu,"Doctor sab, dui din dhira jore kabu hoiya achi, tapmatra 39.5°C. Chokher pichone jeno such futteche, had-gor bhanga bhanga lage. Majhe majhe vomi-vomi lage, gaye lalche dag uthche. Eida ki khub serious?"
Dengu,"Doctor bhai, tin din dhira jore puriya jaitechi, 38.5°C. Hade emon byatha je hatte pari na. Chokher pichone byatha, majhe majhe vomi-vomi. Gaye lal dag uthche. Ekhon ki korbo?"
Dengu,"Hotat shorirta durbol hoya geche, doctor. Jor 39°C, chokher pichone tibro byatha. Had-gore byatha, majhe majhe vomi lage. Gaye lalche dag dekhay. Eida kotota gurutoro?"
Dengu,"Amar jor 39.5°C, hade byatha, chokhe khub chap. Majhe majhe vomi-vomi lage. Gaye lal dag uthche, doctor, eida ki holo?"
Dengu,"Shorire hotat durbolota, jor 38°C, chokher pichone chap. Gaye dag, majhe majhe vomi lage. Doctor, ami ekhon ki kori?"
Dengu,"Amar shorirta ekdom okkora hoya geche, doctor. Matha ghura, hade byatha. Gaye lal dag, kokhono kokhono vomi lage. Khub osusthi hoitese."
Dengu,"Shorire hotat durbolota, jor 38°C, chokher pichone chap. Gaye dag, majhe majhe vomi lage. Doctor, ami ekhon ki kori?"
Dengu,"Doctor bhai, tin din dhira jore puriya jaitechi, 38.5°C. Hade emon byatha je hatte pari na. Chokher pichone byatha, majhe majhe vomi-vomi. Gaye lal dag uthche. Ekhon ki korbo?"
Dengu,"Doctor sab, jor 40°C, chokher pichone byatha, hade tibro byatha. Majhe majhe vomi hoy. Gaye lal dag, amar ki hoise?"
Dengu,"Amar shorirta ekdom bhainga porche, doctor. Jor 40°C, matha ta bhari, hade khub byatha. Chokhe chap lage, kokhono kokhono vomi hoy. Gaye chhoto chhoto lal dag dekhay. Eida ki dengu naki?"
Dengu,"Amar shorirta ekdom bhainga porche, doctor. Jor 40°C, matha ta bhari, hade khub byatha. Chokhe chap lage, kokhono kokhono vomi hoy. Gaye chhoto chhoto lal dag dekhay. Eida ki dengu naki?"
Dengu,"Amar jor 39.5°C, hade byatha, chokhe khub chap. Majhe majhe vomi-vomi lage. Gaye lal dag uthche, doctor, eida ki holo?"
Dengu,"Amar shorirta ekdom bhainga porche, doctor. Jor 40°C, matha ta bhari, hade khub byatha. Chokhe chap lage, kokhono kokhono vomi hoy. Gaye chhoto chhoto lal dag dekhay. Eida ki dengu naki?"
Dengu,"Ami khub durbol lagtesi, jor 39°C, hade byatha. Gaye dag, kokhono kokhono matha ghura. Doctor, eida ki gurutoro kichu?"
Dengu,"Amar shorirta ekdom okkora hoya geche, doctor. Matha ghura, hade byatha. Gaye lal dag, kokhono kokhono vomi lage. Khub osusthi hoitese."
Dengu,"Shorire hotat durbolota, jor 38°C, chokher pichone chap. Gaye dag, majhe majhe vomi lage. Doctor, ami ekhon ki kori?"
Dengu,"Doctor, got ek hapta dhira matha ghura, jor 38.5°C. Hade byatha, kokhono kokhono vomi hoy. Gaye dag uthche, eida ki dengu hote pare?"
Dengu,"Hotat shorirta durbol hoya geche, doctor. Jor 39°C, chokher pichone tibro byatha. Had-gore byatha, majhe majhe vomi lage. Gaye lalche dag dekhay. Eida kotota gurutoro?"
Dengu,"Doctor sab, jor 40°C, chokher pichone byatha, hade tibro byatha. Majhe majhe vomi hoy. Gaye lal dag, amar ki hoise?"
Dengu,"Got tin din dhira jor 38.5°C, chokhe byatha, hade tibro byatha. Majhe majhe vomi-vomi, gaye lalche dag. Eida ki serious?"
Dengu,"Shorire hotat durbolota, jor 38°C, chokher pichone chap. Gaye dag, majhe majhe vomi lage. Doctor, ami ekhon ki kori?"
Dengu,"Amar jor 39.5°C, hade byatha, chokhe khub chap. Majhe majhe vomi-vomi lage. Gaye lal dag uthche, doctor, eida ki holo?"
Dengu,"Doctor, got ek hapta dhira matha ghura, jor 38.5°C. Hade byatha, kokhono kokhono vomi hoy. Gaye dag uthche, eida ki dengu hote pare?"
Dengu,"Doctor, got ek hapta dhira matha ghura, jor 38.5°C. Hade byatha, kokhono kokhono vomi hoy. Gaye dag uthche, eida ki dengu hote pare?"
Dengu,"Shorire hotat durbolota, jor 38°C, chokher pichone chap. Gaye dag, majhe majhe vomi lage. Doctor, ami ekhon ki kori?"
Dengu,"Amar jor 39.5°C, hade byatha, chokhe khub chap. Majhe majhe vomi-vomi lage. Gaye lal dag uthche, doctor, eida ki holo?"
Dengu,"Jor-ta hotat bairya geche, tapmatra 39°C. Hade tibro byatha, chokhe chap lage. Majhe majhe vomi-vomi, gaye lal dag. Ami khub chintay achi."
Dengu,"Jor-ta hotat bairya geche, tapmatra 39°C. Hade tibro byatha, chokhe chap lage. Majhe majhe vomi-vomi, gaye lal dag. Ami khub chintay achi."
Dengu,"Ami khub durbol lagtesi, jor 39°C, hade byatha. Gaye dag, kokhono kokhono matha ghura. Doctor, eida ki gurutoro kichu?"
Dengu,"Doctor bhai, dui din dhira jor, hade tibro byatha, gaye lalche dag. Kokhono kokhono vomi lage, matha o bhari. Eida ki dengu hote pare?"
Dengu,"Doctor, got ek hapta dhira matha ghura, jor 38.5°C. Hade byatha, kokhono kokhono vomi hoy. Gaye dag uthche, eida ki dengu hote pare?"
Dengu,"Doctor, got ek hapta dhira matha ghura, jor 38.5°C. Hade byatha, kokhono kokhono vomi hoy. Gaye dag uthche, eida ki dengu hote pare?"
Dengu,"Doctor, got ek hapta dhira matha ghura, jor 38.5°C. Hade byatha, kokhono kokhono vomi hoy. Gaye dag uthche, eida ki dengu hote pare?"
Dengu,"Hotat shorirta durbol hoya geche, doctor. Jor 39°C, chokher pichone tibro byatha. Had-gore byatha, majhe majhe vomi lage. Gaye lalche dag dekhay. Eida kotota gurutoro?"
Dengu,"Doctor sab, jor 40°C, chokher pichone byatha, hade tibro byatha. Majhe majhe vomi hoy. Gaye lal dag, amar ki hoise?"
Dengu,"Ami khub durbol lagtesi, jor 39°C, hade byatha. Gaye dag, kokhono kokhono matha ghura. Doctor, eida ki gurutoro kichu?"
Dengu,"Hotat shorirta durbol hoya geche, doctor. Jor 39°C, chokher pichone tibro byatha. Had-gore byatha, majhe majhe vomi lage. Gaye lalche dag dekhay. Eida kotota gurutoro?"
Dengu,"Jor-ta hotat bairya geche, tapmatra 39°C. Hade tibro byatha, chokhe chap lage. Majhe majhe vomi-vomi, gaye lal dag. Ami khub chintay achi."
Dengu,"Doctor sab, dui din dhira jore kabu hoiya achi, tapmatra 39.5°C. Chokher pichone jeno such futteche, had-gor bhanga bhanga lage. Majhe majhe vomi-vomi lage, gaye lalche dag uthche. Eida ki khub serious?"
Dengu,"Amar shorirta ekdom okkora hoya geche, doctor. Matha ghura, hade byatha. Gaye lal dag, kokhono kokhono vomi lage. Khub osusthi hoitese."
Dengu,"Jor-ta hotat bairya geche, tapmatra 39°C. Hade tibro byatha, chokhe chap lage. Majhe majhe vomi-vomi, gaye lal dag. Ami khub chintay achi."
Dengu,"Doctor bhai, dui din dhira jor, hade tibro byatha, gaye lalche dag. Kokhono kokhono vomi lage, matha o bhari. Eida ki dengu hote pare?"
Dengu,"Got tin din dhira jor 38.5°C, chokhe byatha, hade tibro byatha. Majhe majhe vomi-vomi, gaye lalche dag. Eida ki serious?"
Dengu,"Doctor sab, dui din dhira jore kabu hoiya achi, tapmatra 39.5°C. Chokher pichone jeno such futteche, had-gor bhanga bhanga lage. Majhe majhe vomi-vomi lage, gaye lalche dag uthche. Eida ki khub serious?"
Dengu,"Hotat shorirta durbol hoya geche, doctor. Jor 39°C, chokher pichone tibro byatha. Had-gore byatha, majhe majhe vomi lage. Gaye lalche dag dekhay. Eida kotota gurutoro?"
Dengu,"Doctor sab, jor 40°C, chokher pichone byatha, hade tibro byatha. Majhe majhe vomi hoy. Gaye lal dag, amar ki hoise?"
Dengu,"Amar jor 39.5°C, hade byatha, chokhe khub chap. Majhe majhe vomi-vomi lage. Gaye lal dag uthche, doctor, eida ki holo?"
Dengu,"Doctor bhai, dui din dhira jor, hade tibro byatha, gaye lalche dag. Kokhono kokhono vomi lage, matha o bhari. Eida ki dengu hote pare?"
Dengu,"Doctor sab, jor 40°C, chokher pichone byatha, hade tibro byatha. Majhe majhe vomi hoy. Gaye lal dag, amar ki hoise?"
Dengu,"Shorire hotat durbolota, jor 38°C, chokher pichone chap. Gaye dag, majhe majhe vomi lage. Doctor, ami ekhon ki kori?"
Dengu,"Amar shorirta ekdom okkora hoya geche, doctor. Matha ghura, hade byatha. Gaye lal dag, kokhono kokhono vomi lage. Khub osusthi hoitese."
Dengu,"Got tin din dhira jor 38.5°C, chokhe byatha, hade tibro byatha. Majhe majhe vomi-vomi, gaye lalche dag. Eida ki serious?"
Dengu,"Doctor sab, gaye lal dag, hotat jor 40.5°C, chokhe byatha. Majhe majhe matha ghura, vomi-vomi lage. Eida ki khub kharap kichu?"
Dengu,"Shorire hotat durbolota, jor 38°C, chokher pichone chap. Gaye dag, majhe majhe vomi lage. Doctor, ami ekhon ki kori?"
Dengu,"Got tin din dhira jor 38.5°C, chokhe byatha, hade tibro byatha. Majhe majhe vomi-vomi, gaye lalche dag. Eida ki serious?"
Dengu,"Doctor bhai, dui din dhira jor, hade tibro byatha, gaye lalche dag. Kokhono kokhono vomi lage, matha o bhari. Eida ki dengu hote pare?"
Dengu,"Shorire hotat durbolota, jor 38°C, chokher pichone chap. Gaye dag, majhe majhe vomi lage. Doctor, ami ekhon ki kori?"
Dengu,"Amar shorirta ekdom okkora hoya geche, doctor. Matha ghura, hade byatha. Gaye lal dag, kokhono kokhono vomi lage. Khub osusthi hoitese."
Dengu,"Doctor sab, dui din dhira jore kabu hoiya achi, tapmatra 39.5°C. Chokher pichone jeno such futteche, had-gor bhanga bhanga lage. Majhe majhe vomi-vomi lage, gaye lalche dag uthche. Eida ki khub serious?"
Dengu,"Doctor, hotat jor 40°C, matha bhari, hade byatha. Gaye dag, kokhono kokhono vomi lage. Ami khub osusth lagtesi."
Dengu,"Amar shorirta ekdom bhainga porche, doctor. Jor 40°C, matha ta bhari, hade khub byatha. Chokhe chap lage, kokhono kokhono vomi hoy. Gaye chhoto chhoto lal dag dekhay. Eida ki dengu naki?"
Dengu,"Amar shorirta ekdom okkora hoya geche, doctor. Matha ghura, hade byatha. Gaye lal dag, kokhono kokhono vomi lage. Khub osusthi hoitese."
Dengu,"Doctor, got ek hapta dhira matha ghura, jor 38.5°C. Hade byatha, kokhono kokhono vomi hoy. Gaye dag uthche, eida ki dengu hote pare?"
Dengu,"Amar shorirta ekdom okkora hoya geche, doctor. Matha ghura, hade byatha. Gaye lal dag, kokhono kokhono vomi lage. Khub osusthi hoitese."
Dengu,"Doctor, hotat jor 40°C, matha bhari, hade byatha. Gaye dag, kokhono kokhono vomi lage. Ami khub osusth lagtesi."
Dengu,"Ami khub durbol lagtesi, jor 39°C, hade byatha. Gaye dag, kokhono kokhono matha ghura. Doctor, eida ki gurutoro kichu?"
Dengu,"Doctor sab, gaye lal dag, hotat jor 40.5°C, chokhe byatha. Majhe majhe matha ghura, vomi-vomi lage. Eida ki khub kharap kichu?"
Dengu,"Doctor bhai, dui din dhira jor, hade tibro byatha, gaye lalche dag. Kokhono kokhono vomi lage, matha o bhari. Eida ki dengu hote pare?"
Dengu,"Amar jor 39.5°C, hade byatha, chokhe khub chap. Majhe majhe vomi-vomi lage. Gaye lal dag uthche, doctor, eida ki holo?"
Dengu,"Amar shorirta ekdom okkora hoya geche, doctor. Matha ghura, hade byatha. Gaye lal dag, kokhono kokhono vomi lage. Khub osusthi hoitese."
Dengu,"Doctor sab, gaye lal dag, hotat jor 40.5°C, chokhe byatha. Majhe majhe matha ghura, vomi-vomi lage. Eida ki khub kharap kichu?"
Dengu,"Shorire hotat durbolota, jor 38°C, chokher pichone chap. Gaye dag, majhe majhe vomi lage. Doctor, ami ekhon ki kori?"
Dengu,"Doctor sab, jor 40°C, chokher pichone byatha, hade tibro byatha. Majhe majhe vomi hoy. Gaye lal dag, amar ki hoise?"
Dengu,"Amar jor 39.5°C, hade byatha, chokhe khub chap. Majhe majhe vomi-vomi lage. Gaye lal dag uthche, doctor, eida ki holo?"
Dengu,"Jor-ta hotat bairya geche, tapmatra 39°C. Hade tibro byatha, chokhe chap lage. Majhe majhe vomi-vomi, gaye lal dag. Ami khub chintay achi."
Dengu,"Shorire hotat durbolota, jor 38°C, chokher pichone chap. Gaye dag, majhe majhe vomi lage. Doctor, ami ekhon ki kori?"
Dengu,"Amar jor 39.5°C, hade byatha, chokhe khub chap. Majhe majhe vomi-vomi lage. Gaye lal dag uthche, doctor, eida ki holo?"
Dengu,"Hotat shorirta durbol hoya geche, doctor. Jor 39°C, chokher pichone tibro byatha. Had-gore byatha, majhe majhe vomi lage. Gaye lalche dag dekhay. Eida kotota gurutoro?"
Dengu,"Shorire hotat durbolota, jor 38°C, chokher pichone chap. Gaye dag, majhe majhe vomi lage. Doctor, ami ekhon ki kori?"
Dengu,"Doctor bhai, tin din dhira jore puriya jaitechi, 38.5°C. Hade emon byatha je hatte pari na. Chokher pichone byatha, majhe majhe vomi-vomi. Gaye lal dag uthche. Ekhon ki korbo?"
Dengu,"Doctor sab, gaye lal dag, hotat jor 40.5°C, chokhe byatha. Majhe majhe matha ghura, vomi-vomi lage. Eida ki khub kharap kichu?"
Dengu,"Doctor, got ek hapta dhira matha ghura, jor 38.5°C. Hade byatha, kokhono kokhono vomi hoy. Gaye dag uthche, eida ki dengu hote pare?"
Dengu,"Got tin din dhira jor 38.5°C, chokhe byatha, hade tibro byatha. Majhe majhe vomi-vomi, gaye lalche dag. Eida ki serious?"
Dengu,"Hotat shorirta durbol hoya geche, doctor. Jor 39°C, chokher pichone tibro byatha. Had-gore byatha, majhe majhe vomi lage. Gaye lalche dag dekhay. Eida kotota gurutoro?"
Dengu,"Doctor, got ek hapta dhira matha ghura, jor 38.5°C. Hade byatha, kokhono kokhono vomi hoy. Gaye dag uthche, eida ki dengu hote pare?"
Dengu,"Ami khub durbol lagtesi, jor 39°C, hade byatha. Gaye dag, kokhono kokhono matha ghura. Doctor, eida ki gurutoro kichu?"
Dengu,"Jor-ta hotat bairya geche, tapmatra 39°C. Hade tibro byatha, chokhe chap lage. Majhe majhe vomi-vomi, gaye lal dag. Ami khub chintay achi."
Dengu,"Doctor sab, gaye lal dag, hotat jor 40.5°C, chokhe byatha. Majhe majhe matha ghura, vomi-vomi lage. Eida ki khub kharap kichu?"
Dengu,"Got tin din dhira jor 38.5°C, chokhe byatha, hade tibro byatha. Majhe majhe vomi-vomi, gaye lalche dag. Eida ki serious?"
Dengu,"Doctor, hotat jor 40°C, matha bhari, hade byatha. Gaye dag, kokhono kokhono vomi lage. Ami khub osusth lagtesi."
Dengu,"Jor-ta hotat bairya geche, tapmatra 39°C. Hade tibro byatha, chokhe chap lage. Majhe majhe vomi-vomi, gaye lal dag. Ami khub chintay achi."
Dengu,"Amar shorirta ekdom okkora hoya geche, doctor. Matha ghura, hade byatha. Gaye lal dag, kokhono kokhono vomi lage. Khub osusthi hoitese."
Dengu,"Amar jor 39.5°C, hade byatha, chokhe khub chap. Majhe majhe vomi-vomi lage. Gaye lal dag uthche, doctor, eida ki holo?"
Dengu,"Doctor sab, jor 40°C, chokher pichone byatha, hade tibro byatha. Majhe majhe vomi hoy. Gaye lal dag, amar ki hoise?"
Dengu,"Doctor bhai, tin din dhira jore puriya jaitechi, 38.5°C. Hade emon byatha je hatte pari na. Chokher pichone byatha, majhe majhe vomi-vomi. Gaye lal dag uthche. Ekhon ki korbo?"
Dengu,"Doctor sab, dui din dhira jore kabu hoiya achi, tapmatra 39.5°C. Chokher pichone jeno such futteche, had-gor bhanga bhanga lage. Majhe majhe vomi-vomi lage, gaye lalche dag uthche. Eida ki khub serious?"
Dengu,"Doctor, got ek hapta dhira matha ghura, jor 38.5°C. Hade byatha, kokhono kokhono vomi hoy. Gaye dag uthche, eida ki dengu hote pare?"
Dengu,"Doctor bhai, tin din dhira jore puriya jaitechi, 38.5°C. Hade emon byatha je hatte pari na. Chokher pichone byatha, majhe majhe vomi-vomi. Gaye lal dag uthche. Ekhon ki korbo?"
Dengu,"Amar jor 39.5°C, hade byatha, chokhe khub chap. Majhe majhe vomi-vomi lage. Gaye lal dag uthche, doctor, eida ki holo?"
Dengu,"Amar shorirta ekdom bhainga porche, doctor. Jor 40°C, matha ta bhari, hade khub byatha. Chokhe chap lage, kokhono kokhono vomi hoy. Gaye chhoto chhoto lal dag dekhay. Eida ki dengu naki?"
