Disease,Patient_Description
ডেঙ্গু,"ডাক্তার ভাই, দুই দিন ধইরা জ্বর, হাড়ে তীব্র ব্যথা, গায়ে লালচে দাগ। কখনো কখনো বমি লাগে, মাথাটাও ভারী। এইডা কি ডেঙ্গু হইতে পারে?"
ডেঙ্গু,"আমি খুব দুর্বল লাগতেছি, জ্বর ৩৯°C, হাড়ে ব্যথা। গায়ে দাগ, কখনো কখনো মাথা ঘুরায়। ডাক্তার, এইডা কি গুরুতর কিছু?"
ডেঙ্গু,"জ্বরটা হঠাৎ বাইড়া গেছে, তাপমাত্রা ৩৯°C। হাড়ে তীব্র ব্যথা, চোখে চাপ লাগে। মাঝেমধ্যে বমি বমি, গায়ে লাল দাগ। আমি খুব চিন্তায় আছি।"
ডেঙ্গু,"আমার শরীরটা একদম অক্করা হয়া গেছে, ডাক্তার। মাথা ঘুরায়, হাড়ে ব্যথা। গায়ে লাল দাগ, কখনো কখনো বমি লাগে। খুব অস্বস্তি হইতেছে।"
ডেঙ্গু,"ডাক্তার ভাই, দুই দিন ধইরা জ্বর, হাড়ে তীব্র ব্যথা, গায়ে লালচে দাগ। কখনো কখনো বমি লাগে, মাথাটাও ভারী। এইডা কি ডেঙ্গু হইতে পারে?"
ডেঙ্গু,"ডাক্তার, গত এক হপ্তা ধইরা মাথা ঘুরায়, জ্বর ৩৮.৫°C। হাড়ে ব্যথা, কখনো কখনো বমি হয়। গায়ে দাগ উঠছে, এইডা কি ডেঙ্গু হইতে পারে?"
ডেঙ্গু,"আমার শরীরটা একদম অক্করা হয়া গেছে, ডাক্তার। মাথা ঘুরায়, হাড়ে ব্যথা। গায়ে লাল দাগ, কখনো কখনো বমি লাগে। খুব অস্বস্তি হইতেছে।"
ডেঙ্গু,"ডাক্তার সাব, গায়ে লাল দাগ, হঠাৎ জ্বর ৪০.৫°C, চোখে ব্যথা। মাঝেমধ্যে মাথা ঘুরায়, বমি বমি লাগে। এইডা কি খুব খারাপ কিছু?"
ডেঙ্গু,"আমার শরীরটা একদম অক্করা হয়া গেছে, ডাক্তার। মাথা ঘুরায়, হাড়ে ব্যথা। গায়ে লাল দাগ, কখনো কখনো বমি লাগে। খুব অস্বস্তি হইতেছে।"
ডেঙ্গু,"ডাক্তার, গত এক হপ্তা ধইরা মাথা ঘুরায়, জ্বর ৩৮.৫°C। হাড়ে ব্যথা, কখনো কখনো বমি হয়। গায়ে দাগ উঠছে, এইডা কি ডেঙ্গু হইতে পারে?"
ডেঙ্গু,"শরীরে হঠাৎ দুর্বলতা, জ্বর ৩৮°C, চোখের পিছনে চাপ। গায়ে দাগ, মাঝেমধ্যে বমি লাগে। ডাক্তার, আমি এখন কী করি?"
ডেঙ্গু,"শরীরে হঠাৎ দুর্বলতা, জ্বর ৩৮°C, চোখের পিছনে চাপ। গায়ে দাগ, মাঝেমধ্যে বমি লাগে। ডাক্তার, আমি এখন কী করি?"
ডেঙ্গু,"ডাক্তার, হঠাৎ জ্বর ৪০°C, মাথা ভারী, হাড়ে ব্যথা। গায়ে দাগ, কখনো কখনো বমি লাগে। আমি খুব অসুস্থ লাগতেছি।"
ডেঙ্গু,"আমার জ্বর ৩৯.৫°C, হাড়ে ব্যথা, চোখে খুব চাপ। মাঝেমধ্যে বমি বমি লাগে। গায়ে লাল দাগ উঠছে, ডাক্তার, এইডা কী হইলো?"
ডেঙ্গু,"আমি খুব দুর্বল লাগতেছি, জ্বর ৩৯°C, হাড়ে ব্যথা। গায়ে দাগ, কখনো কখনো মাথা ঘুরায়। ডাক্তার, এইডা কি গুরুতর কিছু?"
ডেঙ্গু,"হঠাৎ শরীরটা দুর্বল হয়া গেছে, ডাক্তার। জ্বর ৩৯°C, চোখের পিছনে তীব্র ব্যথা। হাড়গোড়ে ব্যথা, মাঝেমধ্যে বমি লাগে। গায়ে লালচে দাগ দেখা যায়। এইডা কতটা গুরুতর?"
ডেঙ্গু,"ডাক্তার সাব, জ্বর ৪০°C, চোখের পিছনে ব্যথা, হাড়ে তীব্র ব্যথা। মাঝেমধ্যে বমি হয়। গায়ে লাল দাগ, আমার কী হইছে?"
ডেঙ্গু,"আমার জ্বর ৩৯.৫°C, হাড়ে ব্যথা, চোখে খুব চাপ। মাঝেমধ্যে বমি বমি লাগে। গায়ে লাল দাগ উঠছে, ডাক্তার, এইডা কী হইলো?"
ডেঙ্গু,"আমার শরীরটা একদম ভাইঙ্গা পড়ছে, ডাক্তার। জ্বর ৪০°C, মাথাটা ভারী, হাড়ে খুব ব্যথা। চোখে চাপ লাগে, কখনো কখনো বমি হয়। গায়ে ছোট ছোট লাল দাগ দেখা যায়। এইডা কি ডেঙ্গু নাকি?"
ডেঙ্গু,"আমার শরীরটা একদম অক্করা হয়া গেছে, ডাক্তার। মাথা ঘুরায়, হাড়ে ব্যথা। গায়ে লাল দাগ, কখনো কখনো বমি লাগে। খুব অস্বস্তি হইতেছে।"
ডেঙ্গু,"জ্বরটা হঠাৎ বাইড়া গেছে, তাপমাত্রা ৩৯°C। হাড়ে তীব্র ব্যথা, চোখে চাপ লাগে। মাঝেমধ্যে বমি বমি, গায়ে লাল দাগ। আমি খুব চিন্তায় আছি।"
ডেঙ্গু,"ডাক্তার ভাই, দুই দিন ধইরা জ্বর, হাড়ে তীব্র ব্যথা, গায়ে লালচে দাগ। কখনো কখনো বমি লাগে, মাথাটাও ভারী। এইডা কি ডেঙ্গু হইতে পারে?"
ডেঙ্গু,"আমার শরীরটা একদম ভাইঙ্গা পড়ছে, ডাক্তার। জ্বর ৪০°C, মাথাটা ভারী, হাড়ে খুব ব্যথা। চোখে চাপ লাগে, কখনো কখনো বমি হয়। গায়ে ছোট ছোট লাল দাগ দেখা যায়। এইডা কি ডেঙ্গু নাকি?"
ডেঙ্গু,"ডাক্তার সাব, দুই দিন ধইরা জ্বরে কাবু হইয়া আছি, তাপমাত্রা ৩৯.৫°C। চোখের পিছনে যেন সুচ ফুটাইতেছে, হাড়গোড় ভাঙা ভাঙা লাগে। মাঝেমধ্যে বমি বমি লাগে, গায়ে লালচে দাগ উঠছে। এইডা কি খুব সিরিয়াস?"
ডেঙ্গু,"ডাক্তার ভাই, তিন দিন ধইরা জ্বরে পুইড়া যাইতেছি, ৩৮.৫°C। হাড়ে এমন ব্যথা যে হাঁটতে পারি না। চোখের পিছনে ব্যথা, মাঝেমধ্যে বমি বমি। গায়ে লাল দাগ উঠছে। এখন কী করব?"
ডেঙ্গু,"গত তিন দিন ধইরা জ্বর ৩৮.৫°C, চোখে ব্যথা, হাড়ে তীব্র ব্যথা। মাঝেমধ্যে বমি বমি, গায়ে লালচে দাগ। এইডা কি সিরিয়াস?"
ডেঙ্গু,"ডাক্তার ভাই, দুই দিন ধইরা জ্বর, হাড়ে তীব্র ব্যথা, গায়ে লালচে দাগ। কখনো কখনো বমি লাগে, মাথাটাও ভারী। এইডা কি ডেঙ্গু হইতে পারে?"
ডেঙ্গু,"ডাক্তার ভাই, দুই দিন ধইরা জ্বর, হাড়ে তীব্র ব্যথা, গায়ে লালচে দাগ। কখনো কখনো বমি লাগে, মাথাটাও ভারী। এইডা কি ডেঙ্গু হইতে পারে?"
ডেঙ্গু,"ডাক্তার সাব, জ্বর ৪০°C, চোখের পিছনে ব্যথা, হাড়ে তীব্র ব্যথা। মাঝেমধ্যে বমি হয়। গায়ে লাল দাগ, আমার কী হইছে?"
ডেঙ্গু,"আমার শরীরটা একদম ভাইঙ্গা পড়ছে, ডাক্তার। জ্বর ৪০°C, মাথাটা ভারী, হাড়ে খুব ব্যথা। চোখে চাপ লাগে, কখনো কখনো বমি হয়। গায়ে ছোট ছোট লাল দাগ দেখা যায়। এইডা কি ডেঙ্গু নাকি?"
ডেঙ্গু,"জ্বরটা হঠাৎ বাইড়া গেছে, তাপমাত্রা ৩৯°C। হাড়ে তীব্র ব্যথা, চোখে চাপ লাগে। মাঝেমধ্যে বমি বমি, গায়ে লাল দাগ। আমি খুব চিন্তায় আছি।"
ডেঙ্গু,"আমার শরীরটা একদম ভাইঙ্গা পড়ছে, ডাক্তার। জ্বর ৪০°C, মাথাটা ভারী, হাড়ে খুব ব্যথা। চোখে চাপ লাগে, কখনো কখনো বমি হয়। গায়ে ছোট ছোট লাল দাগ দেখা যায়। এইডা কি ডেঙ্গু নাকি?"
ডেঙ্গু,"আমার শরীরটা একদম অক্করা হয়া গেছে, ডাক্তার। মাথা ঘুরায়, হাড়ে ব্যথা। গায়ে লাল দাগ, কখনো কখনো বমি লাগে। খুব অস্বস্তি হইতেছে।"
ডেঙ্গু,"ডাক্তার, হঠাৎ জ্বর ৪০°C, মাথা ভারী, হাড়ে ব্যথা। গায়ে দাগ, কখনো কখনো বমি লাগে। আমি খুব অসুস্থ লাগতেছি।"
ডেঙ্গু,"আমার জ্বর ৩৯.৫°C, হাড়ে ব্যথা, চোখে খুব চাপ। মাঝেমধ্যে বমি বমি লাগে। গায়ে লাল দাগ উঠছে, ডাক্তার, এইডা কী হইলো?"
ডেঙ্গু,"আমার জ্বর ৩৯.৫°C, হাড়ে ব্যথা, চোখে খুব চাপ। মাঝেমধ্যে বমি বমি লাগে। গায়ে লাল দাগ উঠছে, ডাক্তার, এইডা কী হইলো?"
ডেঙ্গু,"ডাক্তার, গত এক হপ্তা ধইরা মাথা ঘুরায়, জ্বর ৩৮.৫°C। হাড়ে ব্যথা, কখনো কখনো বমি হয়। গায়ে দাগ উঠছে, এইডা কি ডেঙ্গু হইতে পারে?"
ডেঙ্গু,"হঠাৎ শরীরটা দুর্বল হয়া গেছে, ডাক্তার। জ্বর ৩৯°C, চোখের পিছনে তীব্র ব্যথা। হাড়গোড়ে ব্যথা, মাঝেমধ্যে বমি লাগে। গায়ে লালচে দাগ দেখা যায়। এইডা কতটা গুরুতর?"
ডেঙ্গু,"আমার জ্বর ৩৯.৫°C, হাড়ে ব্যথা, চোখে খুব চাপ। মাঝেমধ্যে বমি বমি লাগে। গায়ে লাল দাগ উঠছে, ডাক্তার, এইডা কী হইলো?"
ডেঙ্গু,"হঠাৎ শরীরটা দুর্বল হয়া গেছে, ডাক্তার। জ্বর ৩৯°C, চোখের পিছনে তীব্র ব্যথা। হাড়গোড়ে ব্যথা, মাঝেমধ্যে বমি লাগে। গায়ে লালচে দাগ দেখা যায়। এইডা কতটা গুরুতর?"
ডেঙ্গু,"আমার শরীরটা একদম অক্করা হয়া গেছে, ডাক্তার। মাথা ঘুরায়, হাড়ে ব্যথা। গায়ে লাল দাগ, কখনো কখনো বমি লাগে। খুব অস্বস্তি হইতেছে।"
ডেঙ্গু,"ডাক্তার সাব, জ্বর ৪০°C, চোখের পিছনে ব্যথা, হাড়ে তীব্র ব্যথা। মাঝেমধ্যে বমি হয়। গায়ে লাল দাগ, আমার কী হইছে?"
ডেঙ্গু,"ডাক্তার সাব, গায়ে লাল দাগ, হঠাৎ জ্বর ৪০.৫°C, চোখে ব্যথা। মাঝেমধ্যে মাথা ঘুরায়, বমি বমি লাগে। এইডা কি খুব খারাপ কিছু?"
ডেঙ্গু,"ডাক্তার সাব, দুই দিন ধইরা জ্বরে কাবু হইয়া আছি, তাপমাত্রা ৩৯.৫°C। চোখের পিছনে যেন সুচ ফুটাইতেছে, হাড়গোড় ভাঙা ভাঙা লাগে। মাঝেমধ্যে বমি বমি লাগে, গায়ে লালচে দাগ উঠছে। এইডা কি খুব সিরিয়াস?"
ডেঙ্গু,"ডাক্তার, গত এক হপ্তা ধইরা মাথা ঘুরায়, জ্বর ৩৮.৫°C। হাড়ে ব্যথা, কখনো কখনো বমি হয়। গায়ে দাগ উঠছে, এইডা কি ডেঙ্গু হইতে পারে?"
ডেঙ্গু,"আমার শরীরটা একদম ভাইঙ্গা পড়ছে, ডাক্তার। জ্বর ৪০°C, মাথাটা ভারী, হাড়ে খুব ব্যথা। চোখে চাপ লাগে, কখনো কখনো বমি হয়। গায়ে ছোট ছোট লাল দাগ দেখা যায়। এইডা কি ডেঙ্গু নাকি?"
ডেঙ্গু,"হঠাৎ শরীরটা দুর্বল হয়া গেছে, ডাক্তার। জ্বর ৩৯°C, চোখের পিছনে তীব্র ব্যথা। হাড়গোড়ে ব্যথা, মাঝেমধ্যে বমি লাগে। গায়ে লালচে দাগ দেখা যায়। এইডা কতটা গুরুতর?"
ডেঙ্গু,"ডাক্তার ভাই, দুই দিন ধইরা জ্বর, হাড়ে তীব্র ব্যথা, গায়ে লালচে দাগ। কখনো কখনো বমি লাগে, মাথাটাও ভারী। এইডা কি ডেঙ্গু হইতে পারে?"
ডেঙ্গু,"হঠাৎ শরীরটা দুর্বল হয়া গেছে, ডাক্তার। জ্বর ৩৯°C, চোখের পিছনে তীব্র ব্যথা। হাড়গোড়ে ব্যথা, মাঝেমধ্যে বমি লাগে। গায়ে লালচে দাগ দেখা যায়। এইডা কতটা গুরুতর?"
ডেঙ্গু,"আমার জ্বর ৩৯.৫°C, হাড়ে ব্যথা, চোখে খুব চাপ। মাঝেমধ্যে বমি বমি লাগে। গায়ে লাল দাগ উঠছে, ডাক্তার, এইডা কী হইলো?"
ডেঙ্গু,"ডাক্তার সাব, জ্বর ৪০°C, চোখের পিছনে ব্যথা, হাড়ে তীব্র ব্যথা। মাঝেমধ্যে বমি হয়। গায়ে লাল দাগ, আমার কী হইছে?"
ডেঙ্গু,"আমার শরীরটা একদম ভাইঙ্গা পড়ছে, ডাক্তার। জ্বর ৪০°C, মাথাটা ভারী, হাড়ে খুব ব্যথা। চোখে চাপ লাগে, কখনো কখনো বমি হয়। গায়ে ছোট ছোট লাল দাগ দেখা যায়। এইডা কি ডেঙ্গু নাকি?"
ডেঙ্গু,"আমার জ্বর ৩৯.৫°C, হাড়ে ব্যথা, চোখে খুব চাপ। মাঝেমধ্যে বমি বমি লাগে। গায়ে লাল দাগ উঠছে, ডাক্তার, এইডা কী হইলো?"
ডেঙ্গু,"ডাক্তার সাব, জ্বর ৪০°C, চোখের পিছনে ব্যথা, হাড়ে তীব্র ব্যথা। মাঝেমধ্যে বমি হয়। গায়ে লাল দাগ, আমার কী হইছে?"
ডেঙ্গু,"হঠাৎ শরীরটা দুর্বল হয়া গেছে, ডাক্তার। জ্বর ৩৯°C, চোখের পিছনে তীব্র ব্যথা। হাড়গোড়ে ব্যথা, মাঝেমধ্যে বমি লাগে। গায়ে লালচে দাগ দেখা যায়। এইডা কতটা গুরুতর?"
ডেঙ্গু,"আমার শরীরটা একদম অক্করা হয়া গেছে, ডাক্তার। মাথা ঘুরায়, হাড়ে ব্যথা। গায়ে লাল দাগ, কখনো কখনো বমি লাগে। খুব অস্বস্তি হইতেছে।"
ডেঙ্গু,"ডাক্তার সাব, গায়ে লাল দাগ, হঠাৎ জ্বর ৪০.৫°C, চোখে ব্যথা। মাঝেমধ্যে মাথা ঘুরায়, বমি বমি লাগে। এইডা কি খুব খারাপ কিছু?"
ডেঙ্গু,"আমার জ্বর ৩৯.৫°C, হাড়ে ব্যথা, চোখে খুব চাপ। মাঝেমধ্যে বমি বমি লাগে। গায়ে লাল দাগ উঠছে, ডাক্তার, এইডা কী হইলো?"
ডেঙ্গু,"ডাক্তার সাব, গায়ে লাল দাগ, হঠাৎ জ্বর ৪০.৫°C, চোখে ব্যথা। মাঝেমধ্যে মাথা ঘুরায়, বমি বমি লাগে। এইডা কি খুব খারাপ কিছু?"
ডেঙ্গু,"শরীরে হঠাৎ দুর্বলতা, জ্বর ৩৮°C, চোখের পিছনে চাপ। গায়ে দাগ, মাঝেমধ্যে বমি লাগে। ডাক্তার, আমি এখন কী করি?"
ডেঙ্গু,"আমার জ্বর ৩৯.৫°C, হাড়ে ব্যথা, চোখে খুব চাপ। মাঝেমধ্যে বমি বমি লাগে। গায়ে লাল দাগ উঠছে, ডাক্তার, এইডা কী হইলো?"
ডেঙ্গু,"ডাক্তার, হঠাৎ জ্বর ৪০°C, মাথা ভারী, হাড়ে ব্যথা। গায়ে দাগ, কখনো কখনো বমি লাগে। আমি খুব অসুস্থ লাগতেছি।"
ডেঙ্গু,"জ্বরটা হঠাৎ বাইড়া গেছে, তাপমাত্রা ৩৯°C। হাড়ে তীব্র ব্যথা, চোখে চাপ লাগে। মাঝেমধ্যে বমি বমি, গায়ে লাল দাগ। আমি খুব চিন্তায় আছি।"
ডেঙ্গু,"আমি খুব দুর্বল লাগতেছি, জ্বর ৩৯°C, হাড়ে ব্যথা। গায়ে দাগ, কখনো কখনো মাথা ঘুরায়। ডাক্তার, এইডা কি গুরুতর কিছু?"
ডেঙ্গু,"ডাক্তার সাব, জ্বর ৪০°C, চোখের পিছনে ব্যথা, হাড়ে তীব্র ব্যথা। মাঝেমধ্যে বমি হয়। গায়ে লাল দাগ, আমার কী হইছে?"
ডেঙ্গু,"আমার শরীরটা একদম ভাইঙ্গা পড়ছে, ডাক্তার। জ্বর ৪০°C, মাথাটা ভারী, হাড়ে খুব ব্যথা। চোখে চাপ লাগে, কখনো কখনো বমি হয়। গায়ে ছোট ছোট লাল দাগ দেখা যায়। এইডা কি ডেঙ্গু নাকি?"
ডেঙ্গু,"ডাক্তার, গত এক হপ্তা ধইরা মাথা ঘুরায়, জ্বর ৩৮.৫°C। হাড়ে ব্যথা, কখনো কখনো বমি হয়। গায়ে দাগ উঠছে, এইডা কি ডেঙ্গু হইতে পারে?"
ডেঙ্গু,"আমার শরীরটা একদম ভাইঙ্গা পড়ছে, ডাক্তার। জ্বর ৪০°C, মাথাটা ভারী, হাড়ে খুব ব্যথা। চোখে চাপ লাগে, কখনো কখনো বমি হয়। গায়ে ছোট ছোট লাল দাগ দেখা যায়। এইডা কি ডেঙ্গু নাকি?"
ডেঙ্গু,"ডাক্তার সাব, গায়ে লাল দাগ, হঠাৎ জ্বর ৪০.৫°C, চোখে ব্যথা। মাঝেমধ্যে মাথা ঘুরায়, বমি বমি লাগে। এইডা কি খুব খারাপ কিছু?"
ডেঙ্গু,"জ্বরটা হঠাৎ বাইড়া গেছে, তাপমাত্রা ৩৯°C। হাড়ে তীব্র ব্যথা, চোখে চাপ লাগে। মাঝেমধ্যে বমি বমি, গায়ে লাল দাগ। আমি খুব চিন্তায় আছি।"
ডেঙ্গু,"ডাক্তার সাব, দুই দিন ধইরা জ্বরে কাবু হইয়া আছি, তাপমাত্রা ৩৯.৫°C। চোখের পিছনে যেন সুচ ফুটাইতেছে, হাড়গোড় ভাঙা ভাঙা লাগে। মাঝেমধ্যে বমি বমি লাগে, গায়ে লালচে দাগ উঠছে। এইডা কি খুব সিরিয়াস?"
ডেঙ্গু,"ডাক্তার ভাই, দুই দিন ধইরা জ্বর, হাড়ে তীব্র ব্যথা, গায়ে লালচে দাগ। কখনো কখনো বমি লাগে, মাথাটাও ভারী। এইডা কি ডেঙ্গু হইতে পারে?"
ডেঙ্গু,"আমি খুব দুর্বল লাগতেছি, জ্বর ৩৯°C, হাড়ে ব্যথা। গায়ে দাগ, কখনো কখনো মাথা ঘুরায়। ডাক্তার, এইডা কি গুরুতর কিছু?"
ডেঙ্গু,"ডাক্তার, হঠাৎ জ্বর ৪০°C, মাথা ভারী, হাড়ে ব্যথা। গায়ে দাগ, কখনো কখনো বমি লাগে। আমি খুব অসুস্থ লাগতেছি।"
ডেঙ্গু,"ডাক্তার সাব, গায়ে লাল দাগ, হঠাৎ জ্বর ৪০.৫°C, চোখে ব্যথা। মাঝেমধ্যে মাথা ঘুরায়, বমি বমি লাগে। এইডা কি খুব খারাপ কিছু?"
ডেঙ্গু,"আমার জ্বর ৩৯.৫°C, হাড়ে ব্যথা, চোখে খুব চাপ। মাঝেমধ্যে বমি বমি লাগে। গায়ে লাল দাগ উঠছে, ডাক্তার, এইডা কী হইলো?"
ডেঙ্গু,"ডাক্তার সাব, গায়ে লাল দাগ, হঠাৎ জ্বর ৪০.৫°C, চোখে ব্যথা। মাঝেমধ্যে মাথা ঘুরায়, বমি বমি লাগে। এইডা কি খুব খারাপ কিছু?"
ডেঙ্গু,"আমি খুব দুর্বল লাগতেছি, জ্বর ৩৯°C, হাড়ে ব্যথা। গায়ে দাগ, কখনো কখনো মাথা ঘুরায়। ডাক্তার, এইডা কি গুরুতর কিছু?"
ডেঙ্গু,"হঠাৎ শরীরটা দুর্বল হয়া গেছে, ডাক্তার। জ্বর ৩৯°C, চোখের পিছনে তীব্র ব্যথা। হাড়গোড়ে ব্যথা, মাঝেমধ্যে বমি লাগে। গায়ে লালচে দাগ দেখা যায়। এইডা কতটা গুরুতর?"
ডেঙ্গু,"ডাক্তার, গত এক হপ্তা ধইরা মাথা ঘুরায়, জ্বর ৩৮.৫°C। হাড়ে ব্যথা, কখনো কখনো বমি হয়। গায়ে দাগ উঠছে, এইডা কি ডেঙ্গু হইতে পারে?"
ডেঙ্গু,"গত তিন দিন ধইরা জ্বর ৩৮.৫°C, চোখে ব্যথা, হাড়ে তীব্র ব্যথা। মাঝেমধ্যে বমি বমি, গায়ে লালচে দাগ। এইডা কি সিরিয়াস?"
ডেঙ্গু,"ডাক্তার সাব, দুই দিন ধইরা জ্বরে কাবু হইয়া আছি, তাপমাত্রা ৩৯.৫°C। চোখের পিছনে যেন সুচ ফুটাইতেছে, হাড়গোড় ভাঙা ভাঙা লাগে। মাঝেমধ্যে বমি বমি লাগে, গায়ে লালচে দাগ উঠছে। এইডা কি খুব সিরিয়াস?"
ডেঙ্গু,"জ্বরটা হঠাৎ বাইড়া গেছে, তাপমাত্রা ৩৯°C। হাড়ে তীব্র ব্যথা, চোখে চাপ লাগে। মাঝেমধ্যে বমি বমি, গায়ে লাল দাগ। আমি খুব চিন্তায় আছি।"
ডেঙ্গু,"ডাক্তার ভাই, দুই দিন ধইরা জ্বর, হাড়ে তীব্র ব্যথা, গায়ে লালচে দাগ। কখনো কখনো বমি লাগে, মাথাটাও ভারী। এইডা কি ডেঙ্গু হইতে পারে?"
ডেঙ্গু,"ডাক্তার ভাই, দুই দিন ধইরা জ্বর, হাড়ে তীব্র ব্যথা, গায়ে লালচে দাগ। কখনো কখনো বমি লাগে, মাথাটাও ভারী। এইডা কি ডেঙ্গু হইতে পারে?"
ডেঙ্গু,"হঠাৎ শরীরটা দুর্বল হয়া গেছে, ডাক্তার। জ্বর ৩৯°C, চোখের পিছনে তীব্র ব্যথা। হাড়গোড়ে ব্যথা, মাঝেমধ্যে বমি লাগে। গায়ে লালচে দাগ দেখা যায়। এইডা কতটা গুরুতর?"
